"","text","country","source"
"126","we hope everyone is joying canada day!!!!! enjoy the fire works and lets be thankful for this beautiful country of ours! #canadaday2019 #longweekd #ohcanada ///j9ddzp1nff","","Twitter for iPhone"
"127","good morning frids! we hope you all had an amazing weekd celebrating this amazing country of ours!!!!! make the transition back to work a little better with a can of our amazingly licious pure gius teas!!!!! youre sure to love em! #puregius #canada #ohcanada ///7mvhfylxfd","","Twitter for iPhone"
"128","canada day  hangover got me feeling like#canadaday #hangover #ldnont #londonont  #avery #iamcanadian #ohcanada #canada ///a96c9bdlni","","Instagram"
"129","oh canada national anthem canada day at rogers ctre! #nationanthem #ohcanada #canadaday #canadianfg #canada #toronto #rogersctre #baseballstadium #bluejays #jays #letsgobluejays #letsgotoronto ///t7mpzqnhgk","","Instagram"
"130","happy canada day! what did you do to celebrate canada day we spt ours in the city, joying all of the beautiful aspects of canada that we could! #canadaday #canadadaynails #ohcanada #redandwhite #redandwhitails #fgnails #iloveyoucanad ///hz3vopnoi4 ///xxi0vpker7","","IFTTT"
"131","dont miss canadian icon @jullybck performing live at mel lastman square at torontos favourite canada day celebration! festivities start at 6 pm tomorrow learn more at ///ntao2me21p #canadaday #ohcanada ///w4ykx1l2yr","","Hootsuite Inc."
"132","canada day is just around the corner! celebrate july 1 with family fridly fun at mel lastman square including face painting, dance performances, car flipping, live music &; fireworks!  fun starts at 6 pm details at ///92gohpyxcf #canadaday #ohcanada ///fis1d529","","Hootsuite Inc."
"133","#canadaday celebrations are unrway at mel lastm square dont miss the grand fireworks finale at 1030! details at ///92gohpyxcf #ohcanada ///awsp5orwwa","","Hootsuite Inc."
"134","stay cool at mel lastman square this #canadaday with complimtary sles of froz lemona and cherry &; blue raspberry slushies from presting sponsor, @timhortons celebration starts at 6 pm this eving evt details ///vwlbh1pwfz #ohcanada #happpycanadaday ///7f6wxrimgg","","Hootsuite Inc."
"135","canada day fun at mel lastman square starts now! catch live performances, market vdors and a spectacur fireworks show! details at ///acv1avzaa7 #ohcanada ///lrnff4dn7g","","Hootsuite Inc."
"136","dont miss canadian icon @jullybck performing live at mel lastman square at torontos favourite canada day celebration! festivities start at 6 pm on june 30 learn more at ///ntao2me21p #canadaday #ohcanada ///n9990qnjvd","","Hootsuite Inc."
"137","celebrate canada day on july 1 with live music and fireworks at mel lastman square, prested by @timhortons! festivities begin at 6 pm free! details at ///ibarczdze4 celebrations are fund in part by the governmt of canada #canadaday #ohcanada ///oknduek6iz","","Hootsuite Inc."
"138","celebrate canadas birthday with music, arts and a spectacur fireworks dispy at mel lastman square full evt schedule at ///mbizzm8iuv #canadaday #ohcanada ///3npu4pmpoh","","Hootsuite Inc."
"139","enjoy a fun-filled canada day at mel lastman square with live performances, market vdors and a spectacur fireworks show! festivities begin on july 1 at 6 pm details at ///acv1avhzbx #ohcanada ///tn6xiv4jyl","","Hootsuite Inc."
"140","enjoy a fun-filled canada day at mel lastman square with live performances, market vdors and a spectacur fireworks show! festivities begin at 6 pm on july 1 details at ///acv1avzaa7 #ohcanada ///kskactyx1g","","Hootsuite Inc."
"141","looking for somewhere to watch canada day fireworks tomorrow catch live performances followed by a spectacur firework show at mel lastman square celebrations start at 6 pm! details at ///n4a0tuwmyz #ohcanada ///xcnzirqay4","","Hootsuite Inc."
"142","happy canada day! celebrate with live performances and a spectacur fireworks show tonight at mel lastman square the fun starts at 6 pm complete schedule &; tails at  ///otlgxjmx4q #canadaday #ohcanada #happycanadaday ///xvvvkzknpa","","Hootsuite Inc."
"143","thank you to presting sponsor @timhortons and @cdnheritage for their support of #canadaday celebrations at mel lastman square! #ohcanada ///fkvcht7vzw","","Hootsuite Inc."
"144","hope everyone had a wonrful and rexing long weekd  #happybirthdaycanada #ohcanada #gloriousandfree #canadaday #longweekd #hellosummer ///nbfx7q5zqq","","Instagram"
"145","there are some amazing #canadianblues artists on this weeks @rootsmusreport top 50 blues album chart or the week of june 29, including several of our clit releases! #bluesmusic #canadianmusic #ohcanada ///trnj51hylu ///z6qkdfbomh","","Buffer"
"146","@jjblood_ @irishgawss @mcallisterd @uswnt right im #ohcanada eh and im all @uswnt thats all","","Twitter for Android"
"147","#ohcanada #happycanadaday #workhappy ///5lbhlz4avd","","Dynamic Signal"
"148","#ohcanada #happycanadaday #workhappy ///iheacwzoca","","Dynamic Signal"
"149","its so much fun working for a canadian company!  they really are as nice as the stereotype cims  #ohcanada ///ize9mlptoh","","Twitter Web Client"
"150","@foodnetworkca @buttertarttour without a doubt!!!  #buttertarts #ohcanada ///atr46uckop","","Twitter for iPhone"
"151","maybe its just me but @vancityreynolds really should have donned the dp suit for his visit to the festivities #ohcanada ///pjnmwprblz","","Twitter Web App"
"152","last year i ""celebrated"" canada day in london by unceremoniously drinking a very expsive beer in my girlfrids apartmt and watching shitty british reality tvi am so happy to be back, you guys  #ohcanada","","Twitter for Android"
"153","#canadaday #celebration #ohcanada #canada #july1 #funtimes ///sp5kwcdirf","","Instagram"
"154","poutine#frchcanadian #frchfries #duck #cheesecurd #mangochutney #food #canadianfood #qubcois #patates #mixte #voi #ginmartini #stnightsdinner #ohcanada @ pteau mont-royal ///8qwkqa4r77","Canada","Instagram"
"155","beautiful! #canadaday #ohcanada #snowbirds #avgeeks ///y1mwdjff3t","","Twitter for iPhone"
"156","spt the long weekd taking in the sunsets on lake superior #ohcanada ///gktltybuq5","","Twitter for iPhone"
"157","md&;j be there! #ohcanada ///hjr34ycfgh","","Twitter Web App"
"158","ev foxes want to live in canada!!  #ohcanada  ///wyqfalxczc","","Twitter for Android"
"159","@jacqbrush celebrating canadian milk storage know-how  how many toonies that cost  #ohcanada ///se7f2yeatz","","Twitter for iPhone"
"160","#ohcanada fantastic arctic fox animal walks 3,500km from norway to canada ///0ablbmln1u","","Twitter for Android"
"161","@cbcnewsbc #ohcanada #truorthstrongandfree ","","Twitter for iPhone"
"162","happy canada day!  @kelownanow #kelowna #canadaday #canada #ohcanada #foreworks @ kelowna, british columbia ///oovonnrjod","","Instagram"
"163","awesome vegan beyond burger feast for our 5th annual radcliffe neighbourhood canada day pool party! yes those are #moosecakes  thats how we roll up here in the north #govegan #kindissexy #leahnd #ohcanada ///vu1zynzrly","","Instagram"
"164","happy #canadaday i  and proud of our amazing country #ohcanada ///pfyqjkk1qh","","Twitter for iPhone"
"165","happy canada day (only slightly beted post) #ohcanada ///4pwk4kjudj","","Twitter for iPhone"
"166","///136smzg7u7#ohcanada","","RecurPost - Social Scheduler App"
"167"," happy canada day, to my frids that celebrate #ohcanada #eh #mapleleaf #northoftheborr #celebrate #wearethorth #neighbors @ burbank, california ///l2sz23ogkc","","Instagram"
"168","great news this #canadaday #victor is now streaming for free on tubi on your #appletv link in bio#tubi #tubitv #swim #swimming #race #canada #canadaday #water #swimmer #ohcanada #fitnessmotivation ///les00fnqip","","Instagram"
"169","the fireworks art as loud neither is the nationalism #ohcanada #canadaday","","Twitter for Android"
"170","whew!! i just ma it!! happy canada day everyone and hope everyone had a great great long wknd!! #canadaday #ohcanada #yxe #summer #july1st @ saskatoon, saskatchewan ///cx3atxqlel","","Instagram"
